"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"DAL";109;0,534860348553261;0,355281084657471;0,768629705513376;10;30;23;8;11;5;20;"WAS";100;0,490420885637803;0,386354570883433;0,717529103163757;10;32;24;8;14;4;22;1
"NOP";101;0,496706277026398;0,333204150282112;0,757402405072311;11;31;21;7;11;5;19;"PHX";105;0,50119057200731;0,366477078806892;0,797974549564781;10;31;20;8;14;4;22;1
"ORL";93;0,484399550238082;0,374517247675075;0,722547626564953;8;32;19;6;14;3;20;"DET";95;0,452256068972645;0,339327549247217;0,666482514957002;12;32;20;7;12;4;19;0
"UTA";96;0,49817304283061;0,333775726725742;0,747572411634495;11;30;20;6;13;5;18;"MIN";98;0,455738663343246;0,328369739995127;0,720713297893265;12;28;22;9;14;4;20;1
"IND";94;0,461017345604502;0,340610682651069;0,737570798821083;10;34;20;5;13;4;21;"MIA";94;0,508112048207836;0,359451173328974;0,729813255104043;8;27;19;8;13;3;20;1
"LAC";105;0,514099339103115;0,383681800797721;0,754654299988702;8;32;24;7;12;4;20;"NYK";94;0,479023075652186;0,367239625418973;0,784239760560672;10;28;21;7;13;3;22;1
"LAL";102;0,465026259350405;0,355785782332896;0,737638380569538;11;30;20;7;12;4;21;"MEM";102;0,490563307842923;0,363812490698785;0,785142262415535;10;31;22;8;12;4;19;0
"MIL";99;0,494388307717458;0,366445883811688;0,772756285782691;10;30;22;9;15;4;22;"IND";94;0,460476333993183;0,342357427278979;0,739406951796933;10;34;20;5;13;4;20;0
"ORL";94;0,481886768118674;0,378002879684101;0,720532414715926;8;32;19;6;14;3;20;"BKN";96;0,491407181218744;0,332832198595272;0,747781439095734;9;32;20;7;14;4;20;0
"DEN";101;0,477319311189303;0,32152540893793;0,739862234277783;12;33;20;6;14;4;23;"MEM";101;0,490428392790444;0,357116874097523;0,782329093624389;10;31;22;8;12;4;19;1
"HOU";100;0,489591757442349;0,346107085448966;0,70604545285989;12;31;20;9;16;4;23;"MIA";94;0,508161809189036;0,355799495220682;0,725995218189218;8;27;19;8;13;3;20;1
"ORL";93;0,480389033527231;0,373476486065327;0,726798591409576;8;32;19;6;14;3;20;"CHA";95;0,459650082600517;0,310833948848938;0,730298951762026;9;32;20;5;11;4;18;0
"POR";104;0,488730036740094;0,374065119453145;0,793390111668169;11;35;23;6;13;5;19;"ATL";102;0,512626495556373;0,368174450194785;0,775126492486139;8;32;25;8;13;4;18;0
"BKN";96;0,490264360183493;0,325361677109276;0,748452961761556;9;32;20;7;14;4;20;"DAL";109;0,531459147450309;0,362157391863523;0,770992153279997;10;31;23;8;11;5;20;0
"CHI";103;0,482856771421902;0,362725121858129;0,769858995175449;11;34;21;6;13;6;18;"HOU";101;0,49008886770856;0,345339229994585;0,702926468952246;12;31;20;9;16;4;23;1
